Sistema Termodinámico Controlado
Comandos:
1/0 - Encender/Apagar foco
2/3 - Encender/Apagar ventilador
SXX.X - Establecer setpoint (ej: S25.5)
C - Activar/Desactivar control automático
HX.X - Ajustar histéresis (ej: H1.0)
Tiempo(s),Humedad(%),TempAHT(°C),TempLM35(°C),Setpoint(°C),Foco,Ventilador,Control
71.958,85.39,28.324,27.859,55.0,1,0,1
72.358,85.33,28.344,27.859,55.0,1,0,1
72.758,85.27,28.384,27.859,55.0,1,0,1
73.158,85.19,28.404,28.348,55.0,1,0,1
73.558,85.16,28.451,27.859,55.0,1,0,1
73.958,85.04,28.479,27.859,55.0,1,0,1
74.358,84.96,28.529,27.859,55.0,1,0,1
74.758,84.95,28.552,27.859,55.0,1,0,1
75.158,84.88,28.600,27.859,55.0,1,0,1
75.558,84.80,28.613,27.859,55.0,1,0,1
75.958,84.72,28.653,27.859,55.0,1,0,1
76.358,84.68,28.693,27.859,55.0,1,0,1
76.758,84.58,28.718,28.348,55.0,1,0,1
77.158,84.50,28.765,27.859,55.0,1,0,1
77.558,84.45,28.772,27.859,55.0,1,0,1
77.958,84.40,28.801,28.348,55.0,1,0,1
78.358,84.29,28.871,28.348,55.0,1,0,1
78.758,84.25,28.887,28.348,55.0,1,0,1
79.158,84.16,28.913,27.859,55.0,1,0,1
79.558,84.04,28.959,28.348,55.0,1,0,1
79.958,84.02,29.002,28.348,55.0,1,0,1
80.358,83.95,29.030,28.348,55.0,1,0,1
80.758,83.86,29.062,28.348,55.0,1,0,1
81.158,83.81,29.104,28.348,55.0,1,0,1
81.558,83.74,29.146,28.348,55.0,1,0,1
81.958,83.64,29.165,28.348,55.0,1,0,1
82.358,83.58,29.203,26.882,55.0,1,0,1
82.758,83.46,29.232,28.348,55.0,1,0,1
83.158,83.40,29.258,28.348,55.0,1,0,1
83.558,83.35,29.298,28.348,55.0,1,0,1
83.958,83.25,29.333,28.348,55.0,1,0,1
84.358,83.18,29.376,28.348,55.0,1,0,1
84.758,83.08,29.403,28.837,55.0,1,0,1
85.158,83.04,29.432,28.348,55.0,1,0,1
85.558,82.94,29.464,28.837,55.0,1,0,1
85.958,82.85,29.522,28.348,55.0,1,0,1
86.358,82.82,29.550,28.837,55.0,1,0,1
86.758,82.73,29.580,28.837,55.0,1,0,1
87.158,82.65,29.611,28.348,55.0,1,0,1
87.558,82.59,29.641,28.837,55.0,1,0,1
87.958,82.51,29.679,28.837,55.0,1,0,1
88.358,82.44,29.703,28.837,55.0,1,0,1
88.758,82.38,29.744,28.837,55.0,1,0,1
89.158,82.31,29.780,28.837,55.0,1,0,1
89.558,82.22,29.823,28.348,55.0,1,0,1
89.958,82.15,29.843,29.326,55.0,1,0,1
90.358,82.05,29.888,28.837,55.0,1,0,1
90.758,82.01,29.931,28.837,55.0,1,0,1
91.158,81.94,29.966,28.837,55.0,1,0,1
91.558,81.84,30.004,29.326,55.0,1,0,1
91.958,81.79,30.030,28.348,55.0,1,0,1
92.358,81.69,30.076,29.326,55.0,1,0,1
92.758,81.61,30.099,28.837,55.0,1,0,1
93.158,81.54,30.148,28.837,55.0,1,0,1
93.558,81.45,30.170,28.837,55.0,1,0,1
93.958,81.35,30.208,28.837,55.0,1,0,1
94.358,81.29,30.245,28.837,55.0,1,0,1
94.758,81.24,30.269,28.837,55.0,1,0,1
95.158,81.15,30.314,28.837,55.0,1,0,1
95.558,81.04,30.355,29.326,55.0,1,0,1
95.958,80.96,30.372,28.837,55.0,1,0,1
96.358,80.89,30.419,29.326,55.0,1,0,1
96.758,80.83,30.445,29.326,55.0,1,0,1
97.158,80.71,30.490,29.326,55.0,1,0,1
97.558,80.64,30.516,29.326,55.0,1,0,1
97.958,80.55,30.568,29.326,55.0,1,0,1
98.358,80.49,30.594,29.326,55.0,1,0,1
98.758,80.43,30.627,29.326,55.0,1,0,1
99.158,80.33,30.661,29.326,55.0,1,0,1
99.558,80.29,30.698,29.326,55.0,1,0,1
99.958,80.20,30.739,29.326,55.0,1,0,1
100.358,80.08,30.774,29.326,55.0,1,0,1
100.758,80.02,30.820,29.814,55.0,1,0,1
101.158,79.97,30.859,28.837,55.0,1,0,1
101.558,79.83,30.890,29.326,55.0,1,0,1
101.958,79.79,30.934,29.326,55.0,1,0,1
102.358,79.72,30.965,29.326,55.0,1,0,1
102.758,79.61,30.989,29.326,55.0,1,0,1
103.158,79.56,31.024,29.814,55.0,1,0,1
103.558,79.47,31.059,29.814,55.0,1,0,1
103.958,79.40,31.097,29.814,55.0,1,0,1
104.358,79.29,31.135,29.814,55.0,1,0,1
104.758,79.25,31.160,29.814,55.0,1,0,1
105.158,79.17,31.190,29.814,55.0,1,0,1
105.558,79.08,31.228,29.814,55.0,1,0,1
105.958,79.01,31.273,29.814,55.0,1,0,1
106.358,78.94,31.301,30.303,55.0,1,0,1
106.758,78.90,31.342,29.814,55.0,1,0,1
107.158,78.82,31.359,29.814,55.0,1,0,1
107.558,78.72,31.407,29.814,55.0,1,0,1
107.958,78.70,31.450,29.814,55.0,1,0,1
108.358,78.56,31.470,29.326,55.0,1,0,1
108.758,78.54,31.505,29.814,55.0,1,0,1
109.158,78.43,31.550,29.814,55.0,1,0,1
109.558,78.35,31.578,29.814,55.0,1,0,1
109.958,78.28,31.605,30.303,55.0,1,0,1
110.358,78.24,31.642,30.303,55.0,1,0,1
110.758,78.20,31.695,30.303,55.0,1,0,1
111.158,78.13,31.700,30.303,55.0,1,0,1
111.558,78.04,31.769,29.814,55.0,1,0,1
111.958,78.00,31.800,30.303,55.0,1,0,1
112.358,77.95,31.832,30.303,55.0,1,0,1
112.758,77.86,31.869,29.814,55.0,1,0,1
